generation,country,suicides_no,suicides/100k pop
G.I. Generation,Australia,947.0,3.6912466669999997
G.I. Generation,Austria,659.0,7.390490648
G.I. Generation,Costa Rica,67.0,1.307800642
G.I. Generation,Czechia,602.0,5.6272947349999995
G.I. Generation,Ecuador,237.0,1.347464081
G.I. Generation,Estonia,102.0,7.6719302119999995
G.I. Generation,Georgia,86.0,2.310141306
G.I. Generation,Germany,4380.0,5.266900102999999
G.I. Generation,Guatemala,54.0,0.32031636799999996
G.I. Generation,Iceland,15.0,4.093182668
G.I. Generation,Kazakhstan,505.0,2.692519689
G.I. Generation,Latvia,145.0,7.629775911
G.I. Generation,Lithuania,310.0,11.091690714
G.I. Generation,Mauritius,21.0,1.659108506
G.I. Generation,Mexico,1065.0,0.845249486
G.I. Generation,Netherlands,813.0,4.661296333
G.I. Generation,North Macedonia,69.0,3.3292626270000003
G.I. Generation,Serbia,579.0,8.392367381
G.I. Generation,Singapore,177.0,3.113014565
G.I. Generation,Slovenia,225.0,10.701958077
G.I. Generation,Spain,2025.0,4.275249651
G.I. Generation,United States of America,5006.0,1.5101006609999998
