generation,country,suicides_no,suicides/100k pop
Boomers,Australia,594.0,2.315312059
Boomers,Austria,82.0,0.919605817
Boomers,Costa Rica,88.0,1.7177083039999999
Boomers,Czechia,155.0,1.448888179
Boomers,Ecuador,206.0,1.1712135049999999
Boomers,Estonia,28.0,2.106020058
Boomers,Georgia,25.0,0.671552705
Boomers,Germany,798.0,0.9595859090000001
Boomers,Guatemala,143.0,0.848245197
Boomers,Iceland,10.0,2.728788446
Boomers,Kazakhstan,461.0,2.4579239150000003
Boomers,Latvia,42.0,2.210004057
Boomers,Lithuania,73.0,2.6119142650000002
Boomers,Mauritius,41.0,3.239211845
Boomers,Mexico,1796.0,1.425416034
Boomers,Netherlands,212.0,1.215491787
Boomers,North Macedonia,7.0,0.337751281
Boomers,Serbia,48.0,0.695740301
Boomers,Singapore,38.0,0.66833081
Boomers,Slovenia,21.0,0.99884942
Boomers,Spain,325.0,0.686151178
Boomers,United States of America,2990.0,0.901957846
