,Country,PPP GNI
0,Afghanistan,171.87
1,Albania,493.90
2,Argentina,514.35
3,Armenia,248.63
4,Austria,4753.41
5,Azerbaijan,416.06
6,Belgium,5760.27
7,Belize,510.00
8,Bhutan,268.49
9,Bolivia,483.22
10,Bosnia and Herzegovina,719.52
11,Botswana,455.49
12,Brazil,567.26
13,Burundi,226.51
14,Chile,928.04
15,Costa Rica,906.48
16,Cyprus,2561.45
17,Czechia,1659.91
18,Dominican Republic,298.58
19,Ecuador,472.23
20,Egypt,171.67
21,Estonia,2193.45
22,Finland,3644.75
23,France,2302.15
24,Germany,5189.62
25,Greece,1034.33
26,Honduras,337.50
27,Indonesia,175.66
28,Ireland,4592.80
29,Italy,3644.63
30,Jordan,453.14
31,Kazakhstan,515.80
32,"Korea, Republic of",3183.18
33,Latvia,1671.16
34,Lithuania,1494.70
35,Luxembourg,7202.07
36,Malaysia,697.75
37,Mali,140.75
38,Malta,2572.76
39,Mexico,328.05
40,"Moldova, Republic of",256.07
41,Mongolia,433.87
42,Myanmar,156.54
43,Netherlands,5200.11
44,Norway,5177.45
45,Panama,924.53
46,Philippines,306.90
47,Portugal,1086.23
48,Romania,1228.32
49,Saudi Arabia,1750.35
50,Singapore,3286.12
51,Slovakia,1543.12
52,Slovenia,2621.78
53,Spain,3000.21
54,Sri Lanka,199.53
55,Sweden,3919.52
56,"Tanzania, United Republic of",185.67
57,Thailand,490.27
58,Türkiye,488.92
59,United Kingdom,3189.75
60,United States,4502.19
61,Uruguay,879.92
62,Viet Nam,296.18
63,Zambia,163.25
