,country,year,sex,age,suicides_no,population,suicides/100k pop,HDI for year,gdp_per_capita ($),generation
27823,Australia,2020,male,5-14 years,15.0,25655289,0.058467476,0.96085886,51692.84275,Generation X
27824,Austria,2020,male,5-14 years,2.0,8916864,0.02242941,0.92197063,48586.80132,Generation X
27834,Costa Rica,2020,male,5-14 years,1.0,5123105,0.019519413,0.817894762,12140.85415,Generation X
27838,Czechia,2020,male,5-14 years,3.0,10697858,0.028042997,0.8965906,22931.2746,Generation X
27841,Ecuador,2020,male,5-14 years,44.0,17588595,0.250162108,0.737611865,5600.389615,Generation X
27844,Estonia,2020,male,5-14 years,1.0,1329522,0.075215002,0.882115433,23027.027,Generation X
27846,Georgia,2020,male,5-14 years,3.0,3722716,0.080586325,0.798279847,4266.690795,Generation X
27847,Germany,2020,male,5-14 years,15.0,83160871,0.018037329,0.953971538,46208.42947,Generation X
27850,Guatemala,2020,male,5-14 years,9.0,16858333,0.053386061,0.657307346,4603.339617,Generation X
27852,Iceland,2020,male,5-14 years,2.0,366463,0.545757689,0.968128738,59270.18005,Generation X
27858,Kazakhstan,2020,male,5-14 years,30.0,18755666,0.159951665,0.810741029,9122.23343,Generation X
27861,Latvia,2020,male,5-14 years,0.0,1900449,0.0,0.859286556,17726.25294,Generation X
27863,Lithuania,2020,male,5-14 years,1.0,2794885,0.035779647,0.86682658,20233.64135,Generation X
27867,Mauritius,2020,male,5-14 years,1.0,1265740,0.079005167,0.917110334,8627.843157,Generation X
27868,Mexico,2020,male,5-14 years,154.0,125998302,0.122223869,0.76098691,8329.271313,Generation X
27870,Netherlands,2020,male,5-14 years,5.0,17441500,0.028667259,0.953704247,52397.11671,Generation X
27872,North Macedonia,2020,male,5-14 years,0.0,2072531,0.0,0.79365434,5917.262575,Generation X
27885,Serbia,2020,male,5-14 years,0.0,6899126,0.0,0.809275407,7720.510572,Generation X
27887,Singapore,2020,male,5-14 years,3.0,5685807,0.052762959,0.94237541,59797.75218,Generation X
27889,Slovenia,2020,male,5-14 years,0.0,2102419,0.0,0.91292159,25517.33067,Generation X
27891,Spain,2020,male,5-14 years,7.0,47365655,0.014778641,0.903279437,27063.19392,Generation X
27899,United States of America,2020,male,5-14 years,390.0,331501080,0.117646676,0.920514253,63593.44362,Generation X
28151,Australia,2020,male,15-24 years,349.0,25655289,1.36034328,0.96085886,51692.84275,Generation X
28152,Austria,2020,male,15-24 years,41.0,8916864,0.459802908,0.92197063,48586.80132,Generation X
28162,Costa Rica,2020,male,15-24 years,54.0,5123105,1.054048277,0.817894762,12140.85415,Generation X
28166,Czechia,2020,male,15-24 years,54.0,10697858,0.504773946,0.8965906,22931.2746,Generation X
28169,Ecuador,2020,male,15-24 years,210.0,17588595,1.193955515,0.737611865,5600.389615,Generation X
28172,Estonia,2020,male,15-24 years,14.0,1329522,1.053010029,0.882115433,23027.027,Generation X
28174,Georgia,2020,male,15-24 years,16.0,3722716,0.429793731,0.798279847,4266.690795,Generation X
28175,Germany,2020,male,15-24 years,365.0,83160871,0.438908342,0.953971538,46208.42947,Generation X
28178,Guatemala,2020,male,15-24 years,134.0,16858333,0.794859136,0.657307346,4603.339617,Generation X
28180,Iceland,2020,male,15-24 years,5.0,366463,1.364394223,0.968128738,59270.18005,Generation X
28186,Kazakhstan,2020,male,15-24 years,171.0,18755666,0.911724489,0.810741029,9122.23343,Generation X
28189,Latvia,2020,male,15-24 years,17.0,1900449,0.894525452,0.859286556,17726.25294,Generation X
28191,Lithuania,2020,male,15-24 years,34.0,2794885,1.216508014,0.86682658,20233.64135,Generation X
28195,Mauritius,2020,male,15-24 years,21.0,1265740,1.659108506,0.917110334,8627.843157,Generation X
28196,Mexico,2020,male,15-24 years,1495.0,125998302,1.186523926,0.76098691,8329.271313,Generation X
28198,Netherlands,2020,male,15-24 years,90.0,17441500,0.516010664,0.953704247,52397.11671,Generation X
28200,North Macedonia,2020,male,15-24 years,4.0,2072531,0.193000732,0.79365434,5917.262575,Generation X
28213,Serbia,2020,male,15-24 years,15.0,6899126,0.217418844,0.809275407,7720.510572,Generation X
28215,Singapore,2020,male,15-24 years,23.0,5685807,0.404516017,0.94237541,59797.75218,Generation X
28217,Slovenia,2020,male,15-24 years,15.0,2102419,0.713463872,0.91292159,25517.33067,Generation X
28219,Spain,2020,male,15-24 years,113.0,47365655,0.238569487,0.903279437,27063.19392,Generation X
28227,United States of America,2020,male,15-24 years,1495.0,331501080,0.450978923,0.920514253,63593.44362,Generation X
28479,Australia,2020,male,25-34 years,438.0,25655289,1.707250306,0.96085886,51692.84275,Boomers
28480,Austria,2020,male,25-34 years,63.0,8916864,0.70652642,0.92197063,48586.80132,Boomers
28490,Costa Rica,2020,male,25-34 years,65.0,5123105,1.268761815,0.817894762,12140.85415,Boomers
28494,Czechia,2020,male,25-34 years,129.0,10697858,1.205848872,0.8965906,22931.2746,Boomers
28497,Ecuador,2020,male,25-34 years,177.0,17588595,1.006333934,0.737611865,5600.389615,Boomers
28500,Estonia,2020,male,25-34 years,26.0,1329522,1.955590054,0.882115433,23027.027,Boomers
28502,Georgia,2020,male,25-34 years,21.0,3722716,0.564104272,0.798279847,4266.690795,Boomers
28503,Germany,2020,male,25-34 years,632.0,83160871,0.7599728,0.953971538,46208.42947,Boomers
28506,Guatemala,2020,male,25-34 years,102.0,16858333,0.605042029,0.657307346,4603.339617,Boomers
28508,Iceland,2020,male,25-34 years,7.0,366463,1.910151912,0.968128738,59270.18005,Boomers
28514,Kazakhstan,2020,male,25-34 years,391.0,18755666,2.084703364,0.810741029,9122.23343,Boomers
28517,Latvia,2020,male,25-34 years,38.0,1900449,1.99952748,0.859286556,17726.25294,Boomers
28519,Lithuania,2020,male,25-34 years,63.0,2794885,2.25411779,0.86682658,20233.64135,Boomers
28523,Mauritius,2020,male,25-34 years,36.0,1265740,2.84418601,0.917110334,8627.843157,Boomers
28524,Mexico,2020,male,25-34 years,1495.0,125998302,1.186523926,0.76098691,8329.271313,Boomers
28526,Netherlands,2020,male,25-34 years,144.0,17441500,0.825617063,0.953704247,52397.11671,Boomers
28528,North Macedonia,2020,male,25-34 years,6.0,2072531,0.289501098,0.79365434,5917.262575,Boomers
28541,Serbia,2020,male,25-34 years,44.0,6899126,0.637761943,0.809275407,7720.510572,Boomers
28543,Singapore,2020,male,25-34 years,28.0,5685807,0.492454281,0.94237541,59797.75218,Boomers
28545,Slovenia,2020,male,25-34 years,19.0,2102419,0.903720904,0.91292159,25517.33067,Boomers
28547,Spain,2020,male,25-34 years,254.0,47365655,0.536253536,0.903279437,27063.19392,Boomers
28555,United States of America,2020,male,25-34 years,1495.0,331501080,0.450978923,0.920514253,63593.44362,Boomers
28807,Australia,2020,male,35-54 years,853.0,25655289,3.324850482,0.96085886,51692.84275,Silent
28808,Austria,2020,male,35-54 years,199.0,8916864,2.231726311,0.92197063,48586.80132,Silent
28818,Costa Rica,2020,male,35-54 years,96.0,5123105,1.873863604,0.817894762,12140.85415,Silent
28822,Czechia,2020,male,35-54 years,341.0,10697858,3.187553994,0.8965906,22931.2746,Silent
28825,Ecuador,2020,male,35-54 years,224.0,17588595,1.273552549,0.737611865,5600.389615,Silent
28828,Estonia,2020,male,35-54 years,45.0,1329522,3.384675094,0.882115433,23027.027,Silent
28830,Georgia,2020,male,35-54 years,61.0,3722716,1.6385886,0.798279847,4266.690795,Silent
28831,Germany,2020,male,35-54 years,1495.0,83160871,1.797720469,0.953971538,46208.42947,Silent
28834,Guatemala,2020,male,35-54 years,114.0,16858333,0.676223444,0.657307346,4603.339617,Silent
28836,Iceland,2020,male,35-54 years,10.0,366463,2.728788445,0.968128738,59270.18005,Silent
28842,Kazakhstan,2020,male,35-54 years,781.0,18755666,4.164075005,0.810741029,9122.23343,Silent
28845,Latvia,2020,male,35-54 years,78.0,1900449,4.104293249,0.859286556,17726.25294,Silent
28847,Lithuania,2020,male,35-54 years,155.0,2794885,5.545845357,0.86682658,20233.64135,Silent
28851,Mauritius,2020,male,35-54 years,40.0,1265740,3.160206678,0.917110334,8627.843157,Silent
28852,Mexico,2020,male,35-54 years,1495.0,125998302,1.186523926,0.76098691,8329.271313,Silent
28854,Netherlands,2020,male,35-54 years,461.0,17441500,2.643121291,0.953704247,52397.11671,Silent
28856,North Macedonia,2020,male,35-54 years,17.0,2072531,0.820253111,0.79365434,5917.262575,Silent
28869,Serbia,2020,male,35-54 years,190.0,6899126,2.753972025,0.809275407,7720.510572,Silent
28871,Singapore,2020,male,35-54 years,72.0,5685807,1.266311009,0.94237541,59797.75218,Silent
28873,Slovenia,2020,male,35-54 years,88.0,2102419,4.185654715,0.91292159,25517.33067,Silent
28875,Spain,2020,male,35-54 years,1495.0,47365655,3.156295421,0.903279437,27063.19392,Silent
28883,United States of America,2020,male,35-54 years,1495.0,331501080,0.450978923,0.920514253,63593.44362,Silent
29135,Australia,2020,male,55-74 years,532.0,25655289,2.073646491,0.96085886,51692.84275,G.I. Generation
29136,Austria,2020,male,55-74 years,307.0,8916864,3.44291446,0.92197063,48586.80132,G.I. Generation
29146,Costa Rica,2020,male,55-74 years,47.0,5123105,0.91741239,0.817894762,12140.85415,G.I. Generation
29150,Czechia,2020,male,55-74 years,312.0,10697858,2.91647169,0.8965906,22931.2746,G.I. Generation
29153,Ecuador,2020,male,55-74 years,154.0,17588595,0.875567378,0.737611865,5600.389615,G.I. Generation
29156,Estonia,2020,male,55-74 years,50.0,1329522,3.760750104,0.882115433,23027.027,G.I. Generation
29158,Georgia,2020,male,55-74 years,47.0,3722716,1.262519086,0.798279847,4266.690795,G.I. Generation
29159,Germany,2020,male,55-74 years,1495.0,83160871,1.797720469,0.953971538,46208.42947,G.I. Generation
29162,Guatemala,2020,male,55-74 years,37.0,16858333,0.21947603,0.657307346,4603.339617,G.I. Generation
29164,Iceland,2020,male,55-74 years,8.0,366463,2.183030756,0.968128738,59270.18005,G.I. Generation
29170,Kazakhstan,2020,male,55-74 years,350.0,18755666,1.866102755,0.810741029,9122.23343,G.I. Generation
29173,Latvia,2020,male,55-74 years,74.0,1900449,3.893816672,0.859286556,17726.25294,G.I. Generation
29175,Lithuania,2020,male,55-74 years,159.0,2794885,5.688963947,0.86682658,20233.64135,G.I. Generation
29179,Mauritius,2020,male,55-74 years,17.0,1265740,1.343087838,0.917110334,8627.843157,G.I. Generation
29180,Mexico,2020,male,55-74 years,754.0,125998302,0.598420763,0.76098691,8329.271313,G.I. Generation
