,country,suicides_no,population,Suicide rate,HDI for year
0,Lithuania,608.0,2794885,0.00021754025657585196,0.878918564
1,Slovenia,368.0,2102419,0.0001750364698949163,0.9107147659999999
2,Estonia,210.0,1329522,0.00015795150437525668,0.890523015
3,Latvia,298.0,1900449,0.0001568050497540318,0.869133743
4,Serbia,895.0,6899126,0.0001297265769606179,0.8030600790000001
5,Iceland,47.0,366463,0.00012825305692525576,0.9568010025000001
6,Australia,3139.0,25655289,0.00012235293860848732,0.9446703415000001
7,Austria,1072.0,8916864,0.00012022163845944045,0.9125045904999999
8,Czechia,1224.0,10697858,0.00011441542783611449,0.8909912969999999
9,Kazakhstan,2144.0,18755666,0.00011431212306723739,0.8121304825000001
10,Mauritius,135.0,1265740,0.00010665697536618894,0.9098298675000001
11,Netherlands,1824.0,17441500,0.00010457816128199983,0.9379781770000001
12,Germany,7766.0,83160871,9.338526528900833e-05,0.9430434624999999
13,Spain,4369.0,47365655,9.223983073811604e-05,0.896214139
14,Costa Rica,351.0,5123105,6.85131380285979e-05,0.814961986
15,Singapore,359.0,5685807,6.313967392843268e-05,0.9370907760000001
16,Ecuador,1071.0,17588595,6.08917312610814e-05,0.729548941
17,Mexico,6991.0,125998302,5.548487470886711e-05,0.7542247154999999
18,Georgia,202.0,3722716,5.4261458569496036e-05,0.800684106
19,North Macedonia,105.0,2072531,5.066269213825993e-05,0.7718319785
20,United States of America,14577.0,331501080,4.3972707419233745e-05,0.9190277044999999
21,Guatemala,574.0,16858333,3.4048443579801156e-05,0.6304789274999999
